Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
1   7.6086833E+01   1.5635562E+02   1.1576192E+02   1.5635562E+02   7.6086833E+01   1.5635562E+02   1.5635562E+02   1.5635562E+02   1.5635562E+02   1.5635562E+02   7.6086833E+01   6.9910974E+00   1.5635562E+02   2.0738873E+01   1.7761503E+01   1.5635562E+02   1.5635562E+02   1.5635562E+02   2.0738873E+01   1.5635562E+02   9.7810924E+00   1.5635562E+02   1.7761503E+01   2.0738873E+01   1.0686258E+01   1.0686258E+01   2.0738873E+01   1.5635562E+02   5.7751488E+00   1.5635562E+02   1.5635562E+02   6.9910974E+00   5.7751488E+00   1.5635562E+02   1.1576192E+02   1.5635562E+02   1.1576192E+02   1.5635562E+02   5.4782428E+01   9.7810924E+00  
2   2.5025678E+01   1.5635562E+02   1.1576192E+02   6.3518672E+00   3.8670151E+01   9.1154382E+00   5.8862707E+00   1.5635562E+02   1.1728655E+01   5.8862707E+00   1.9882053E+01   6.9910974E+00   5.8862707E+00   2.0738873E+01   1.0835112E+01   6.3518672E+00   8.9338867E+01   1.1728655E+01   2.0738873E+01   3.8670151E+01   6.3518672E+00   1.5635562E+02   1.0835112E+01   6.3518672E+00   1.0686258E+01   6.3518672E+00   2.0738873E+01   8.9338867E+01   5.7751488E+00   9.1154382E+00   1.9882053E+01   5.8862707E+00   5.7751488E+00   5.0075920E+01   1.1576192E+02   1.5635562E+02   2.7228409E+01   6.3518672E+00   2.8332612E+01   9.7810924E+00  
3   2.5025678E+01   6.3518672E+00   8.3865610E+00   6.3518672E+00   2.4684298E+01   6.9910974E+00   5.8862707E+00   4.0909121E+01   1.1728655E+01   5.8862707E+00   1.9882053E+01   6.9910974E+00   5.8862707E+00   2.0738873E+01   1.0835112E+01   6.3518672E+00   8.6283484E+00   1.1728655E+01   5.7751488E+00   8.6283484E+00   6.3518672E+00   9.7810924E+00   1.0835112E+01   6.3518672E+00   5.7751488E+00   6.3518672E+00   2.0738873E+01   8.6283484E+00   5.7751488E+00   9.1154382E+00   5.8862707E+00   5.8862707E+00   5.7751488E+00   8.3865610E+00   5.7751488E+00   8.3865610E+00   2.0738873E+01   6.3518672E+00   9.0304958E+00   9.7810924E+00  
4   1.9875450E+01   5.7751488E+00   6.3518672E+00   5.8862707E+00   8.3865610E+00   6.9910974E+00   5.8862707E+00   9.0304958E+00   1.1728655E+01   5.8862707E+00   1.0686258E+01   6.9910974E+00   5.8862707E+00   8.3865610E+00   1.0835112E+01   6.3518672E+00   6.3518672E+00   1.1728655E+01   5.7751488E+00   8.3865610E+00   6.3518672E+00   9.7810924E+00   8.7259130E+00   6.3518672E+00   5.7751488E+00   6.3518672E+00   8.3865610E+00   8.6283484E+00   5.7751488E+00   8.3865610E+00   5.8862707E+00   5.8862707E+00   5.7751488E+00   8.3865610E+00   5.7751488E+00   8.3865610E+00   6.9910974E+00   5.8862707E+00   5.8862707E+00   9.7810924E+00  
5   1.9875450E+01   5.7751488E+00   4.5658275E+00   5.8862707E+00   5.7751488E+00   4.5658275E+00   5.8862707E+00   8.3865610E+00   5.7673203E+00   5.8862707E+00   6.3518672E+00   6.9910974E+00   5.8862707E+00   2.6951762E+00   2.6951762E+00   6.3518672E+00   6.3518672E+00   5.7751488E+00   5.7751488E+00   5.7673203E+00   2.6951762E+00   5.7673203E+00   8.6283484E+00   6.3518672E+00   5.7751488E+00   6.3518672E+00   6.9910974E+00   8.6283484E+00   5.7751488E+00   8.3865610E+00   2.6951762E+00   5.7673203E+00   5.7751488E+00   8.3865610E+00   5.7751488E+00   6.2070394E+00   5.7673203E+00   5.8862707E+00   5.8862707E+00   9.7810924E+00  
6   1.9875450E+01   5.7751488E+00   4.5658275E+00   5.8862707E+00   3.4276340E+00   4.5658275E+00   5.8862707E+00   8.3865610E+00   5.7673203E+00   5.8862707E+00   6.3518672E+00   6.9910974E+00   5.8862707E+00   2.6951762E+00   2.6951762E+00   6.3518672E+00   6.0681057E+00   5.7751488E+00   5.7751488E+00   5.7673203E+00   2.6951762E+00   5.7673203E+00   6.0681057E+00   6.3518672E+00   5.7751488E+00   6.3518672E+00   6.9910974E+00   8.6283484E+00   5.7751488E+00   8.3865610E+00   2.6951762E+00   5.7673203E+00   5.7751488E+00   8.3865610E+00   5.7751488E+00   5.4820601E+00   5.7673203E+00   5.8862707E+00   3.4276340E+00   8.6749300E+00  
7   5.8862707E+00   2.6951762E+00   4.5658275E+00   5.4820601E+00   3.4276340E+00   4.5658275E+00   5.8862707E+00   8.3865610E+00   5.4820601E+00   5.8862707E+00   4.6772226E+00   5.4820601E+00   5.7751488E+00   2.6951762E+00   2.6951762E+00   5.7673203E+00   5.8862707E+00   5.7751488E+00   5.7751488E+00   5.7673203E+00   2.6951762E+00   5.7673203E+00   6.0681057E+00   6.3518672E+00   5.7751488E+00   6.0681057E+00   5.4820601E+00   8.6283484E+00   5.7751488E+00   5.8862707E+00   2.6951762E+00   5.4820601E+00   5.7751488E+00   8.3865610E+00   2.6951762E+00   5.4820601E+00   5.7673203E+00   5.8862707E+00   3.4276340E+00   3.4276340E+00  
8   5.8862707E+00   2.6951762E+00   3.3172374E+00   4.5658275E+00   3.2242765E+00   4.5658275E+00   2.6951762E+00   3.3172374E+00   3.3172374E+00   3.4276340E+00   4.6772226E+00   2.6951762E+00   3.3172374E+00   2.6951762E+00   2.6951762E+00   5.7673203E+00   5.8862707E+00   4.5658275E+00   3.3172374E+00   5.7673203E+00   2.6951762E+00   3.4276340E+00   5.7673203E+00   3.2242765E+00   5.7751488E+00   2.6951762E+00   3.7326182E+00   5.7673203E+00   2.6951762E+00   2.6951762E+00   2.6951762E+00   5.4820601E+00   5.7751488E+00   8.3865610E+00   2.6951762E+00   3.4276340E+00   2.6951762E+00   3.2242765E+00   3.2242765E+00   3.4276340E+00  
9   3.7326182E+00   2.6951762E+00   3.3172374E+00   3.4276340E+00   3.2242765E+00   4.5658275E+00   2.6951762E+00   3.2242765E+00   3.3172374E+00   2.6951762E+00   4.6772226E+00   2.6951762E+00   3.3172374E+00   2.6951762E+00   2.6951762E+00   3.4276340E+00   4.6772226E+00   3.4276340E+00   3.3172374E+00   5.7673203E+00   2.6951762E+00   3.4276340E+00   5.7673203E+00   3.2242765E+00   5.7751488E+00   2.6951762E+00   3.7326182E+00   3.2242765E+00   2.6951762E+00   2.6951762E+00   2.6951762E+00   4.6772226E+00   5.7751488E+00   4.6772226E+00   2.6951762E+00   3.4276340E+00   2.6951762E+00   3.2242765E+00   3.2242765E+00   3.2242765E+00  
10   2.6496924E+00   2.6951762E+00   2.6496924E+00   3.4276340E+00   3.2242765E+00   4.4326354E+00   2.6951762E+00   3.2242765E+00   3.3172374E+00   2.6951762E+00   4.6772226E+00   2.6951762E+00   3.3172374E+00   2.6951762E+00   2.6951762E+00   3.4276340E+00   3.2242765E+00   2.6496924E+00   3.3172374E+00   5.7673203E+00   2.6951762E+00   3.4276340E+00   5.7673203E+00   2.6496924E+00   5.7751488E+00   2.6951762E+00   3.7326182E+00   3.2242765E+00   2.6951762E+00   2.6951762E+00   2.6951762E+00   4.6772226E+00   3.4276340E+00   4.6772226E+00   2.6951762E+00   3.4276340E+00   2.6951762E+00   3.2242765E+00   3.2242765E+00   3.2242765E+00  
